
***LMSC***

domain,ngram,accuracy
Movies_TV,8,89.4
Movies_TV,9,89.5
Movies_TV,10,89.60000000000001

domain,ngram,accuracy
Music,1,58.3
Music,2,67.30000000000001
Music,3,77.2
Music,4,83.89999999999999
Music,5,87.2
Music,6,88.8
Music,7,89.5
Music,8,89.7
Music,9,89.9
Music,10,89.9

domain,ngram,accuracy
Musical_Instruments,1,57.4
Musical_Instruments,2,69.6
Musical_Instruments,3,77.10000000000001
Musical_Instruments,4,81.69999999999999
Musical_Instruments,5,85.1
Musical_Instruments,6,86.9
Musical_Instruments,7,87.8
Musical_Instruments,8,88.1
Musical_Instruments,9,88.2
Musical_Instruments,10,88.4

domain,ngram,accuracy
Office_Products,1,57.8
Office_Products,2,69.89999999999999
Office_Products,3,76.6
Office_Products,4,81.39999999999999
Office_Products,5,85.1
Office_Products,6,87.1
Office_Products,7,88.0
Office_Products,8,88.5
Office_Products,9,88.6
Office_Products,10,88.7

domain,ngram,accuracy
Patio,1,58.8
Patio,2,69.6
Patio,3,77.3
Patio,4,81.89999999999999
Patio,5,85.0
Patio,6,86.8
Patio,7,87.6
Patio,8,88.0
Patio,9,88.2
Patio,10,88.3

domain,ngram,accuracy
Pet_Supplies,1,60.4
Pet_Supplies,2,71.0
Pet_Supplies,3,78.8
Pet_Supplies,4,83.1
Pet_Supplies,5,86.4
Pet_Supplies,6,88.2
Pet_Supplies,7,89.1
Pet_Supplies,8,89.5
Pet_Supplies,9,89.7
Pet_Supplies,10,90.0

domain,ngram,accuracy
Shoes,1,61.3
Shoes,2,77.7
Shoes,3,87.6
Shoes,4,93.0
Shoes,5,95.6
Shoes,6,96.6
Shoes,7,97.2
Shoes,8,97.39999999999999
Shoes,9,97.5
Shoes,10,97.6

domain,ngram,accuracy
Software,1,58.099999999999994
Software,2,68.8
Software,3,75.0
Software,4,80.2
Software,5,84.1
Software,6,86.0
Software,7,87.0
Software,8,87.2
Software,9,87.5
Software,10,87.7

domain,ngram,accuracy
Sports_Outdoors,1,57.3
Sports_Outdoors,2,71.8
Sports_Outdoors,3,80.2
Sports_Outdoors,4,85.2
Sports_Outdoors,5,88.5
Sports_Outdoors,6,90.10000000000001
Sports_Outdoors,7,90.9
Sports_Outdoors,8,91.2
Sports_Outdoors,9,91.5
Sports_Outdoors,10,91.5

domain,ngram,accuracy
Tools_Home_Improvement,1,57.8
Tools_Home_Improvement,2,68.89999999999999
Tools_Home_Improvement,3,76.9
Tools_Home_Improvement,4,81.8
Tools_Home_Improvement,5,85.3
Tools_Home_Improvement,6,87.2
Tools_Home_Improvement,7,88.1
Tools_Home_Improvement,8,88.5
Tools_Home_Improvement,9,88.7
Tools_Home_Improvement,10,88.8

domain,ngram,accuracy
Toys_Games,1,59.599999999999994
Toys_Games,2,71.89999999999999
Toys_Games,3,78.8
Toys_Games,4,83.39999999999999
Toys_Games,5,86.5
Toys_Games,6,88.2
Toys_Games,7,89.1
Toys_Games,8,89.4
Toys_Games,9,89.60000000000001
Toys_Games,10,89.60000000000001

