
***LMSC***

domain,ngram,accuracy
domain,ngram,accuracy
Musical_Instruments,1,54.900000000000006
Musical_Instruments,2,66.0
Musical_Instruments,3,70.5
Musical_Instruments,4,72.3
Musical_Instruments,5,73.3
Musical_Instruments,6,73.1
Musical_Instruments,7,73.2
Musical_Instruments,8,73.1
Musical_Instruments,9,73.1
Musical_Instruments,10,73.1

domain,ngram,accuracy
Office_Products,1,56.10000000000001
Office_Products,2,66.8
Office_Products,3,71.6
Office_Products,4,74.0
Office_Products,5,75.2
Office_Products,6,75.0
Office_Products,7,75.2
Office_Products,8,74.9
Office_Products,9,75.3
Office_Products,10,75.2

domain,ngram,accuracy
Patio,1,57.599999999999994
Patio,2,66.0
Patio,3,72.0
Patio,4,73.1
Patio,5,73.8
Patio,6,73.7
Patio,7,73.6
Patio,8,73.4
Patio,9,73.7
Patio,10,73.6

domain,ngram,accuracy
Pet_Supplies,1,59.099999999999994
Pet_Supplies,2,68.0
Pet_Supplies,3,74.1
Pet_Supplies,4,75.8
Pet_Supplies,5,76.4
Pet_Supplies,6,76.4
Pet_Supplies,7,76.8
Pet_Supplies,8,76.6
Pet_Supplies,9,76.7
Pet_Supplies,10,76.7

domain,ngram,accuracy
Shoes,1,59.8
Shoes,2,75.7
Shoes,3,85.0
Shoes,4,90.3
Shoes,5,92.10000000000001
Shoes,6,92.7
Shoes,7,93.4
Shoes,8,93.8
Shoes,9,94.0
Shoes,10,94.0

domain,ngram,accuracy
Software,1,56.99999999999999
Software,2,66.0
Software,3,70.1
Software,4,72.2
Software,5,72.7
Software,6,72.7
Software,7,72.6
Software,8,72.5
Software,9,72.5
Software,10,72.6

domain,ngram,accuracy
Sports_Outdoors,1,55.50000000000001
Sports_Outdoors,2,68.30000000000001
Sports_Outdoors,3,74.9
Sports_Outdoors,4,77.5
Sports_Outdoors,5,79.3
Sports_Outdoors,6,80.0
Sports_Outdoors,7,80.0
Sports_Outdoors,8,80.10000000000001
Sports_Outdoors,9,80.2
Sports_Outdoors,10,80.5

domain,ngram,accuracy
Tools_Home_Improvement,1,56.39999999999999
Tools_Home_Improvement,2,65.8
Tools_Home_Improvement,3,71.3
Tools_Home_Improvement,4,73.6
Tools_Home_Improvement,5,74.4
Tools_Home_Improvement,6,74.5
Tools_Home_Improvement,7,74.7
Tools_Home_Improvement,8,74.5
Tools_Home_Improvement,9,74.5
Tools_Home_Improvement,10,74.6

domain,ngram,accuracy
Toys_Games,1,58.199999999999996
Toys_Games,2,69.19999999999999
Toys_Games,3,74.2
Toys_Games,4,76.6
Toys_Games,5,77.3
Toys_Games,6,77.5
Toys_Games,7,77.3
Toys_Games,8,77.2
Toys_Games,9,77.10000000000001
Toys_Games,10,76.8

domain,ngram,accuracy
Video_Games,1,57.3
Video_Games,2,64.8
Video_Games,3,70.0
Video_Games,4,72.2
Video_Games,5,72.2
Video_Games,6,72.5
Video_Games,7,72.0
Video_Games,8,72.0
Video_Games,9,71.7
Video_Games,10,71.6

domain,ngram,accuracy
Watches,1,59.5
Watches,2,67.30000000000001
Watches,3,72.1
Watches,4,74.0
Watches,5,74.6
Watches,6,74.7
Watches,7,75.0
Watches,8,74.9
Watches,9,74.9
Watches,10,74.7
